title,FileName,singer,lyrics,composer,
Sewane Kumbuk Sewane,Sewane_Kumbuk_Sewane_T_M_Jayarathna.flac,T M Jayarathne,Premakeerthi De Alwis,Premasiri Khemadasa,
Sonduriya,Sonduriya_Kalaya_Amarasiri_Peiris.flac,Amarasiri Peiris,Lucien Bulathsinhala,Premasiri Khemadasa,
Sudu Rosa Malak,,H.R. Jothipala /Malani Bulathsinhala,Ajantha Ranasinghe,Master Premasiri Khemadasa,
Sulang Kurullo (Film - senasuma kothanada ),,Harun Lantra /Anjaleen Gunatilake,Ajantha Ranasinghe,Master Premasiri Khemadasa,
Vikasitha pem ,,Amaradeva,Ajantha Ranasinghe,Master Premasiri Khemadasa,
Wadakagarayen Asunu Gee,,Amarasiri Pieris,Lucien Bulathsinhala,Master Premasiri Khemadasa,
Re Hande Henakin,,Niranjala sarojini,Ajantha Ranasinghe,Master Premasiri Khemadasa,
Ran Ruwaththi,Ran-Ruweththi.flac,Niranjala sarojini,Samantha Herath,Premasiri Khemadasa,
Mama Ma Gena,Mama-Ma-Gana.flac,Niranjala sarojini,Lucien Bulathsinhala,Premasiri Khemadasa,
Sirikatha Nanwa,Sirikatha_Nanwa_Niranjala_Sarojini.flac,Niranjala sarojini,Lucien Bulathsinhala,Premasiri Khemadasa,
Kalpana lowa,,Niranjala sarojini,Ajantha Ranasinghe,Master Premasiri Khemadasa,
Anandayen,,Aiwo Denis,Lucien Bulathsinhala,Master Premasiri Khemadasa,
Mata Inna Nodi,Mata-Inna-Nodi.flac,Ajith Bandara,Nilar N. Cassim,Premasiri Khemadasa,
Sihineka Sitha Dawati,,Ajith Bandara,Ajantha Ranasinghe,Master Premasiri Khemadasa,
Ambare Ada Natha,Ambare-Ada-Netha-Angeline-Gunathilake-Amarapala-Soysa.flac,Amarapala Soysa,Karunaratne Abeysekera,Premasiri Khemadasa,
Adare Dilise,Adare-Dilise-by-Amarasiri-Peiris.flac,Amarasiri Peiris,Lucien Bulathsinhala,Premasiri Khemadasa,
Ane Mahathune,Ane-Mahathune-Amarasiri-Peiris.flac,Amarasiri Peiris,Dharmarathna Perera,Premasiri Khemadasa,
Ape Dilindu,Ape-Dilindu-Niwase-Amarasiri-Peiris.flac,Amarasiri Peiris,Ajantha Ranasinghe,Premasiri Khemadasa,
Irath Wasi Yayi,Irath-Wesee-Yayi-Neela-Wickramasinghe-Amarasiri-Peiris.flac,Amarasiri Peiris,Ven. Rambukkana Siddhartha,Premasiri Khemadasa,
Landune,,Amarasiri Peiris,Ranbanda Seneviratne,Master Premasiri Khemadasa,
Me Rathriya Eli Nowewa,Me-Rathriya-Eli-Nowewa-Amarasiri-Peiris.flac,Amarasiri Peiris,G H K Rathnasiri,Premasiri Khemadasa,
Mihimadale,Mihi-Madale-Amarasiri-Peiris.flac,Amarasiri Peiris,Ven. Rambukkana Siddhartha,Premasiri Khemadasa,
Patacharala,,Amarasiri Peiris,Wijayadasa Rajapaksha,Master Premasiri Khemadasa,
Rakina Divi Sitha,Rakina-Devi-(Dandubasnamanaya)-Amarasiri-Peiris.flac,Amarasiri Peiris,Koolmure Kavi Asureni,Premasiri Khemadasa,
Saravitak Dee,,Amarasiri Peiris,Ajantha Ranasinghe,Master Premasiri Khemadasa,
Seegiri Bithusithuwam,Seegiri-Bithu-Sithuwam-Athare-Amarasiri-Peiris-Shashika-Nisansala.flac,Amarasiri Peiris,Lucien Bulathsinhala,Premasiri Khemadasa,
